GEN_TYPE,GEN_BUS,PG,QG,QMAX,QMIN,VG,MBASE,GEN_STATUS,PMAX,PMIN,PC1,PC2,QC1MIN,QC1MAX,QC2MIN,QC2MAX,RAMP_AGC,RAMP_10,RAMP_30,RAMP_Q,APF
Internal Combustion,45,0.0,0.0,9999,-9999,1.0,100,1,2.2,0.0,0,0,0,0,0,0,0.036666667,0.36666667,1.1,0,0
Internal Combustion,79,0.0,0.0,9999,-9999,1.0,100,1,3.5,0.0,0,0,0,0,0,0,0.058333333,0.58333333,1.75,0,0
Internal Combustion,79,0.0,0.0,9999,-9999,1.0,100,1,3.5,0.0,0,0,0,0,0,0,0.058333333,0.58333333,1.75,0,0
Internal Combustion,79,0.0,0.0,9999,-9999,1.0,100,1,5.2,0.0,0,0,0,0,0,0,0.086666667,0.86666667,2.6,0,0
Internal Combustion,79,0.0,0.0,9999,-9999,1.0,100,1,6.2,0.0,0,0,0,0,0,0,0.10333333,1.0333333,3.1,0,0
Combustion Turbine,39,0.0,0.0,9999,-9999,1.0,100,1,21.6,0.0,0,0,0,0,0,0,0.36,3.6,10.8,0,0
Internal Combustion,80,0.0,0.0,9999,-9999,1.0,100,1,2.0,0.0,0,0,0,0,0,0,0.033333333,0.33333333,1.0,0,0
Internal Combustion,80,0.0,0.0,9999,-9999,1.0,100,1,2.0,0.0,0,0,0,0,0,0,0.033333333,0.33333333,1.0,0,0
Internal Combustion,80,0.0,0.0,9999,-9999,1.0,100,1,2.0,0.0,0,0,0,0,0,0,0.033333333,0.33333333,1.0,0,0
Jet Engine,80,0.0,0.0,9999,-9999,1.0,100,1,21.3,0.0,0,0,0,0,0,0,0.355,3.55,10.65,0,0
Internal Combustion,79,0.0,0.0,9999,-9999,1.0,100,1,5.1,0.0,0,0,0,0,0,0,0.085,0.85,2.55,0,0
Combustion Turbine,79,0.0,0.0,9999,-9999,1.0,100,1,18.1,0.0,0,0,0,0,0,0,0.30166667,3.0166667,9.05,0,0
Combustion Turbine,57,0.0,0.0,9999,-9999,1.0,100,1,3.8,0.0,0,0,0,0,0,0,0.063333333,0.63333333,1.9,0,0
Combustion Turbine,82,0.0,0.0,9999,-9999,1.0,100,1,20.0,0.0,0,0,0,0,0,0,0.33333333,3.3333333,10.0,0,0
Combustion Turbine,82,0.0,0.0,9999,-9999,1.0,100,1,20.0,0.0,0,0,0,0,0,0,0.33333333,3.3333333,10.0,0,0
Combustion Turbine,82,0.0,0.0,9999,-9999,1.0,100,1,20.0,0.0,0,0,0,0,0,0,0.33333333,3.3333333,10.0,0,0
Combustion Turbine,82,0.0,0.0,9999,-9999,1.0,100,1,20.0,0.0,0,0,0,0,0,0,0.33333333,3.3333333,10.0,0,0
Combustion Turbine,82,0.0,0.0,9999,-9999,1.0,100,1,20.0,0.0,0,0,0,0,0,0,0.33333333,3.3333333,10.0,0,0
Combustion Turbine,82,0.0,0.0,9999,-9999,1.0,100,1,20.0,0.0,0,0,0,0,0,0,0.33333333,3.3333333,10.0,0,0
Combustion Turbine,82,0.0,0.0,9999,-9999,1.0,100,1,20.0,0.0,0,0,0,0,0,0,0.33333333,3.3333333,10.0,0,0
Combustion Turbine,82,0.0,0.0,9999,-9999,1.0,100,1,20.0,0.0,0,0,0,0,0,0,0.33333333,3.3333333,10.0,0,0
Combustion Turbine,82,0.0,0.0,9999,-9999,1.0,100,1,20.0,0.0,0,0,0,0,0,0,0.33333333,3.3333333,10.0,0,0
Combustion Turbine,82,0.0,0.0,9999,-9999,1.0,100,1,20.0,0.0,0,0,0,0,0,0,0.33333333,3.3333333,10.0,0,0
Combustion Turbine,82,0.0,0.0,9999,-9999,1.0,100,1,20.0,0.0,0,0,0,0,0,0,0.33333333,3.3333333,10.0,0,0
